method,strength,nll,ppl,concept_score,distinct_1,distinct_2,distinct_3,repetition_3gram,fluency_score
additive,0.00000000,2.83391988,18.12072454,35.60059383,0.78778450,0.95619756,0.98618917,0.01381083,100.00000000
additive,1.00000000,2.69472610,16.06995797,52.37413756,0.77967415,0.95360763,0.97706860,0.02293140,98.15889250
additive,1.25000000,2.90551034,19.17356653,52.13227871,0.80160652,0.97186000,0.99208625,0.00791375,93.09120613
additive,1.50000000,2.86673144,18.78889218,49.42524336,0.79262916,0.96517277,0.98328278,0.01671722,96.20266761
additive,1.75000000,3.04745236,22.80623208,69.69559377,0.81850739,0.97578807,0.99464103,0.00535897,80.77258073
additive,2.00000000,3.00865062,22.59239872,62.76068266,0.82984025,0.98672709,0.99620879,0.00379121,83.96827082
additive,2.25000000,3.20667378,26.37436302,68.67862692,0.80302690,0.96863320,0.98860419,0.01139581,68.88344443
additive,2.50000000,3.16384655,25.53202813,63.44297518,0.78851111,0.97292314,0.99195804,0.00804196,71.89763045
additive,3.00000000,3.43766657,34.80644424,77.29518944,0.80526609,0.97533536,0.99517815,0.00482185,54.67587991
jrr_orth,0.00000000,2.83391988,18.12072454,35.60059383,0.78778450,0.95619756,0.98618917,0.01381083,100.00000000
jrr_orth,1.00000000,2.87766744,19.45319113,50.46781548,0.82905431,0.97933556,0.99670654,0.00329346,95.71959460
jrr_orth,1.25000000,2.85676541,19.73525920,51.83295991,0.80676767,0.96589955,0.98660871,0.01339129,97.74137928
jrr_orth,1.50000000,2.96171335,20.88477452,56.86709142,0.81960059,0.98644456,0.99725381,0.00274619,88.00353824
jrr_orth,1.75000000,2.93997270,20.14516409,58.56979979,0.81165642,0.97784123,0.99529208,0.00470792,89.93770191
jrr_orth,2.00000000,2.97784179,21.18956320,56.59910689,0.79764143,0.97207202,0.99355980,0.00644020,86.59549109
jrr_orth,2.25000000,2.95640973,20.83127303,62.21432895,0.78383773,0.96459020,0.98906311,0.01093689,88.47146371
jrr_orth,2.50000000,3.12071886,25.87039714,59.67324680,0.78944564,0.97707955,0.99557315,0.00442685,75.06625325
jrr_orth,3.00000000,3.20896994,27.08338977,74.36667224,0.80080543,0.97322370,0.98934916,0.01065084,68.72546998
