seed,alpha,delta_concept,delta_fluency,delta_nll
11,1.00000000,7.11056547,-1.21752450,0.02865723
11,1.25000000,7.82129373,8.34814232,-0.09042874
11,1.50000000,8.30844562,-10.80379278,0.12274290
11,1.75000000,-17.70888923,11.25586948,-0.13725033
11,2.00000000,1.04552678,1.27417771,-0.01523497
11,2.25000000,-0.87484987,19.72843138,-0.23379123
11,2.50000000,-4.64991379,9.44970686,-0.12708821
11,3.00000000,8.76394002,21.80999325,-0.37306005
23,1.00000000,-10.92320981,-1.20616537,0.33722464
23,1.25000000,-8.41993119,-2.27880397,-0.00706182
23,1.50000000,6.57524994,-4.67917227,0.06722029
23,1.75000000,-4.54269850,6.89067040,-0.07770900
23,2.00000000,-13.36867848,3.55306152,-0.04638251
23,2.25000000,-12.05374648,20.49044225,-0.26673715
23,2.50000000,-2.88954257,-2.96603209,0.04083261
23,3.00000000,-14.62097456,5.45362920,-0.08433439
