method,strength,nll,ppl,concept_score,distinct_1,distinct_2,distinct_3,repetition_3gram,fluency_score
additive,0.0,2.858432,19.474636,22.008374,0.871612,0.989583,1.0,0.0,100.0
additive,1.0,2.900211,19.347643,34.019932,0.882711,0.991228,1.0,0.0,95.908213
additive,1.5,2.843368,17.868402,67.952873,0.829726,0.975,0.991228,0.008772,98.253309
additive,2.0,3.140846,24.860952,63.876098,0.877739,0.991228,1.0,0.0,75.396187
additive,2.5,3.172639,25.689035,34.222613,0.867948,0.974432,1.0,0.0,73.036818
additive,3.0,3.286885,30.205914,50.13666,0.840121,0.968841,0.992424,0.007576,64.168211
jrr_orth,0.0,2.858432,19.474636,22.008374,0.871612,0.989583,1.0,0.0,100.0
jrr_orth,1.0,2.880827,22.055392,48.709219,0.905715,0.992063,1.0,0.0,97.785409
jrr_orth,1.5,2.966554,21.213268,46.612306,0.834362,0.975,0.982456,0.017544,86.630279
jrr_orth,2.0,3.271921,33.972578,52.756156,0.881962,1.0,1.0,0.0,66.133903
jrr_orth,2.5,3.265349,32.769834,50.3667,0.863812,0.973313,1.0,0.0,66.569956
jrr_orth,3.0,3.437366,34.118879,50.925174,0.883009,1.0,1.0,0.0,56.049572
