method,strength,nll,concept_score,fluency_score,effective_alpha,correction_cos_v,correction_parallel_fraction,correction_to_steer_norm
additive,0,2.8956164,27.916557,100,0,0,0,0
additive,0.5,2.8358253,66.151522,100,0.5,0,0,0
additive,0.75,2.9000485,76.626323,99.557774,0.75,0,0,0
additive,1,3.0150929,84.181935,88.738485,1,0,0,0
additive,1.5,3.1319551,81.712178,78.951326,1.5,0,0,0
additive,2,3.3520479,93.594054,63.354041,2,0,0,0
additive,3,4.1068393,88.120799,29.783284,3,0,0,0
additive,4,4.6099732,95.306485,18.007952,4,0,0,0
gaussian,0,2.8956164,27.916557,100,0,0,0,0
gaussian,0.5,2.8363402,70.038007,100,0.50249765,0.03154098,0.059166952,0.2156815
gaussian,0.75,2.9738908,79.666772,92.471069,0.74073295,-0.041299033,0.072952265,0.20767096
gaussian,1,3.0517547,71.40835,85.544088,0.96587369,-0.12385883,0.12715244,0.24519604
gaussian,1.5,3.2177936,88.173276,72.45698,1.363918,-0.25724718,0.25724718,0.34116696
gaussian,2,3.3929072,81.493976,60.817609,1.6797915,-0.36079752,0.36079752,0.43453955
gaussian,3,4.2339686,91.12329,26.227749,2.0962301,-0.51350844,0.51350844,0.58161233
gaussian,4,4.835265,87.01923,14.375446,2.3579134,-0.61512476,0.61512476,0.6649786
gaussian_dpar,0,2.8956164,27.916557,100,0,0,0,0
gaussian_dpar,0.5,2.8424928,70.199205,100,0.5,-1.9345835e-09,4.6327165e-08,0.21518067
gaussian_dpar,0.75,3.0083064,80.621864,89.342759,0.75,1.9751281e-09,3.3524657e-08,0.20589017
gaussian_dpar,1,3.070594,67.386844,83.947582,1,7.006428e-09,2.4032964e-08,0.24061865
gaussian_dpar,1.5,3.2374686,90.565839,71.045324,1.5,1.5018142e-08,1.9731778e-08,0.32594338
gaussian_dpar,2,3.7813232,94.045658,41.242256,2,2.1791822e-08,2.382141e-08,0.40667349
gaussian_dpar,3,4.7973336,91.973639,14.9312,3,3.3770224e-08,3.5691149e-08,0.49166398
gaussian_dpar,4,5.7358737,83.436252,5.8410635,4.0000003,4.4317186e-08,4.6771983e-08,0.51967375
gaussian_lambda05,0,2.8956164,27.916557,100,0,0,0,0
gaussian_lambda05,0.5,2.8380062,70.056964,100,0.50123661,0.015757096,0.029599827,0.2156137
gaussian_lambda05,0.75,2.9724603,79.693932,92.603443,0.74540552,-0.02074748,0.036736218,0.20652968
gaussian_lambda05,1,3.062463,68.08966,84.632944,0.98316651,-0.062241238,0.063956734,0.24084548
gaussian_lambda05,1.5,3.2347458,83.6027,71.23903,1.4308069,-0.13484978,0.13484978,0.33076132
gaussian_lambda05,2,3.5197756,94.561536,53.571166,1.8394835,-0.19107923,0.19107923,0.4128224
gaussian_lambda05,3,4.4337799,81.95947,21.477518,2.5525393,-0.28937759,0.28937759,0.51325825
gaussian_lambda05,4,5.2333527,95.29473,9.6545944,3.1888497,-0.36696932,0.36696932,0.55212043
mixed,0,2.8956164,27.916557,100,0,0,0,0
mixed,0.5,2.8014234,62.092466,100,0.49708163,-0.028629809,0.036851579,0.19052506
mixed,0.75,2.9530349,69.759677,94.41988,0.73918707,-0.080098147,0.081201193,0.17300209
mixed,1,3.0712948,69.943397,83.888773,0.97435297,-0.1341481,0.13417903,0.18687885
mixed,1.5,3.2501746,83.783509,70.14833,1.4162457,-0.22867296,0.22867296,0.24093493
mixed,2,3.4531689,87.320682,57.260884,1.8102929,-0.31055805,0.31055805,0.30274444
mixed,3,4.0932495,82.452882,30.190796,2.448761,-0.43536042,0.43536042,0.4191413
mixed,4,5.0256302,72.636607,11.883566,2.9195806,-0.52844513,0.52844513,0.5091794
mixed_dpar,0,2.8956164,27.916557,100,0,0,0,0
mixed_dpar,0.5,2.8087988,64.574794,100,0.5,1.2521182e-09,5.0458978e-08,0.19053705
mixed_dpar,0.75,2.9569255,69.76545,94.053249,0.75,4.771789e-09,3.8308134e-08,0.17206785
mixed_dpar,1,3.0802182,72.606904,83.14353,1,7.4756759e-09,2.8566316e-08,0.18610244
mixed_dpar,1.5,3.2101912,83.785802,73.009922,1.5,1.312732e-08,2.0743403e-08,0.23211843
mixed_dpar,2,3.6064143,77.942705,49.125207,2,1.796021e-08,2.1848559e-08,0.28141501
mixed_dpar,3,4.6454463,77.469608,17.380351,3,2.6697124e-08,2.8843873e-08,0.37096385
mixed_dpar,4,5.5953364,69.503098,6.7224336,4.0000001,3.5517639e-08,3.7620436e-08,0.42706976
norm_preserving,0,2.8956164,27.916557,100,0,0,0,0
norm_preserving,0.5,2.8353325,66.129326,100,0.49829556,-0.066340822,0.072027278,0.037842562
norm_preserving,0.75,2.9169438,74.132986,97.889846,0.74511648,-0.10476009,0.10860221,0.052498598
norm_preserving,1,3.0387067,86.854842,86.667581,0.98738723,-0.15113523,0.15177229,0.076105385
norm_preserving,1.5,3.0904883,78.869255,82.294005,1.4570138,-0.22966561,0.2297376,0.11903817
norm_preserving,2,3.3327964,86.221063,64.585519,1.9041601,-0.29992523,0.29992523,0.1557349
norm_preserving,3,4.0875655,87.920557,30.362889,2.7101501,-0.42475001,0.42475001,0.22397347
norm_preserving,4,4.7246397,74.640696,16.057032,3.4044455,-0.52349719,0.52349719,0.2810912
