seed,method,F@C80,F@C85,F@C90,F@C95
11,additive,97.639545,78.043591,61.232086,29.666553
11,gaussian_dpar_b025,96.257013,95.441980,53.232931,49.696414
11,gaussian_dpar_b100,75.716053,73.737313,71.758573,
11,gaussian_vanilla_b025,93.766350,92.189779,49.104050,
11,gaussian_vanilla_b100,76.150713,75.235988,74.321263,31.302105
23,additive,91.854470,73.809202,69.041250,67.060942
23,gaussian_dpar_b025,88.270171,82.215062,61.684872,45.573872
23,gaussian_dpar_b100,91.366305,90.557409,89.748514,44.305934
23,gaussian_vanilla_b025,87.664367,84.618400,81.572432,
23,gaussian_vanilla_b100,93.752233,93.166876,53.042821,50.992479
