strength,nll,fluency_score,concept_score,distinct_3,repetition_3gram
0.0,2.895616,100.000000,27.916557,0.983509,0.016491
0.25,2.757731,99.879752,48.090405,0.982917,0.017083
0.5,2.835825,100.000000,66.151522,0.993017,0.006983
0.75,2.900048,99.557774,76.626323,0.993353,0.006647
1.0,3.015093,88.738485,84.181935,0.994781,0.005219
1.5,3.131955,78.951326,81.712178,0.994570,0.005430
2.0,3.352048,63.354041,93.594054,0.996348,0.003652
3.0,4.106839,29.783284,88.120799,0.995332,0.004668
4.0,4.609973,18.007952,95.306485,0.998151,0.001849
6.0,5.401193,8.162854,98.211737,0.997529,0.002471
8.0,5.781427,5.580956,97.463603,0.995112,0.004888
12.0,5.326703,8.498017,99.795636,0.966809,0.033191
16.0,5.571930,6.665790,99.914495,0.967962,0.032038
24.0,5.683318,5.718934,99.581899,0.947933,0.052067
